Business_Alias,Business_ID,Business_Name,Category_Alias,Category_Title,Latitude,Longitude,Display_Phone,Phone,Distance,Image_URL,Is_Closed,Address_Line1,Address_Line2,Address_Line3,City,State,Country,ZipCode,Rating,Review_Count,Transactions,Business_URL
mimis-barbacoa-tacos-tamales-y-mas-too-san-antonio,oyb3I2GJynOpbjOZ5ZUuPw,Mimi's Barbacoa Tacos Tamales Y Mas Too,mexican,Mexican,29.45109317,-98.53983857,(210) 731-9977,12107319977,10978.26913,https://s3-media3.fl.yelpcdn.com/bphoto/wghAALyRIU01ZkUqf4INvQ/o.jpg,FALSE,1901 Cincinnati,,,San Antonio,TX,US,78228,3,2,[],https://www.yelp.com/biz/mimis-barbacoa-tacos-tamales-y-mas-too-san-antonio?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
las-pinchanchas-san-antonio,PG4BWVROxcu35GJaBmTHCg,Las Pinchanchas,mexican,Mexican,29.44695091,-98.50862885,(210) 735-3715,12107353715,9343.851506,https://s3-media1.fl.yelpcdn.com/bphoto/QnIn8IC-4q1v9vdSgmJaJw/o.jpg,FALSE,450 Fredericksburg Rd,,,San Antonio,TX,US,78201,4,16,[],https://www.yelp.com/biz/las-pinchanchas-san-antonio?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
taqueria-jalisco-no-13-san-antonio,I_3GXTVMntM7fRnrTaAqZA,Taqueria Jalisco No 13,hotdogs,Fast Food,29.481737,-98.542549,(210) 733-5044,12107335044,9305.908139,https://s3-media4.fl.yelpcdn.com/bphoto/h7qEm3jtdBEymZMm5r9b2Q/o.jpg,FALSE,3822 Fredericksburg Rd,,,San Antonio,TX,US,78201,5,8,[],https://www.yelp.com/biz/taqueria-jalisco-no-13-san-antonio?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
gorditas-doña-tota-san-antonio-3,5V6T8d9bBhBq80GFbM7Xzg,Gorditas Doña Tota,mexican,Mexican,29.5098521,-98.4994149,(210) 375-0005,12103750005,4357.702197,https://s3-media4.fl.yelpcdn.com/bphoto/SZgyX2BLy4Y5fqiy9qPnHQ/o.jpg,FALSE,7053 San Pedro Ave,,,San Antonio,TX,US,78216,3.5,59,[],https://www.yelp.com/biz/gorditas-do%C3%B1a-tota-san-antonio-3?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
el-manantial-mexican-restaurant-san-antonio,HTuOCsXSsA5TuIZzQUIPow,El Manantial Mexican Restaurant,mexican,Mexican,29.46622,-98.51353,(210) 731-9957,12107319957,7979.156624,https://s3-media1.fl.yelpcdn.com/bphoto/yah9S8jjvyTYYI4HF0ou1w/o.jpg,FALSE,1136 W Hildebrand,,,San Antonio,TX,US,78201,3.5,7,[],https://www.yelp.com/biz/el-manantial-mexican-restaurant-san-antonio?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
dfac-ft-sam-san-antonio,D-RIhR5nwIjptTQlR7fs4Q,DFAC - Ft Sam,cafeteria,Cafeteria,29.455025,-98.4472491,,,6972.262268,,FALSE,2745 Schofield Rd,,,San Antonio,TX,US,78234,3.5,3,[],https://www.yelp.com/biz/dfac-ft-sam-san-antonio?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
hacinda-villarte-mexican-buffet-san-antonio,hvlJun8VeB3PLRlKwE4ixQ,Hacinda Villarte Mexican Buffet,mexican,Mexican,29.55342087,-98.51001084,(210) 520-8400,12105208400,6614.202591,https://s3-media3.fl.yelpcdn.com/bphoto/P3bGaHClL-u4eqfuSuCa0Q/o.jpg,FALSE,6810 NW Loop 410,,,San Antonio,TX,US,78238,3.5,51,[],https://www.yelp.com/biz/hacinda-villarte-mexican-buffet-san-antonio?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
la-botana-grill-san-antonio-2,qmsGL_qSoUtM9xJnvFqFFA,La Botana Grill,mexican,Mexican,29.46665871,-98.51774796,(210) 600-4340,12106004340,8232.414269,https://s3-media2.fl.yelpcdn.com/bphoto/lqEIOUNlBD4THp4E7_eR3w/o.jpg,FALSE,1401 W Hildebrand Ave,,,San Antonio,TX,US,78201,3,8,[],https://www.yelp.com/biz/la-botana-grill-san-antonio-2?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
wingstop-san-antonio-33,GXGQ_krDCiZYo3QDSZdHbQ,Wingstop,chicken_wings,Chicken Wings,29.4575,-98.55315,(210) 432-2019,12104322019,11540.42335,https://s3-media3.fl.yelpcdn.com/bphoto/uDYYi_YNncP0ey9APk7L_g/o.jpg,FALSE,3031 W Woodlawn Ave,Ste 107,,San Antonio,TX,US,78228,5,1,[],https://www.yelp.com/biz/wingstop-san-antonio-33?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
schlotzskys-san-antonio-7,#NAME?,Schlotzsky's,delis,Delis,29.54849,-98.51087,(210) 366-0383,12103660383,6364.672026,https://s3-media2.fl.yelpcdn.com/bphoto/KJBM1O7v_P0AeNNpaVDm4w/o.jpg,FALSE,11803 Blanco Rd,,,San Antonio,TX,US,78216,3,18,"[u'pickup', u'delivery']",https://www.yelp.com/biz/schlotzskys-san-antonio-7?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
cristans-tacos-san-antonio-5,dpxwVH9uXrinDI_8b-to9g,Cristan's Tacos,mexican,Mexican,29.5095196,-98.3802268,(210) 657-2211,12106572211,7370.995492,https://s3-media2.fl.yelpcdn.com/bphoto/7qF2jW3afWPbXF_4DAySww/o.jpg,FALSE,8054 Midcrown Dr,,,San Antonio,TX,US,78218,4,30,[],https://www.yelp.com/biz/cristans-tacos-san-antonio-5?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
jack-in-the-box-san-antonio-50,kLMWbSu_s6q0c-tpteHVLw,Jack In the Box,newamerican,American (New),29.51662827,-98.42324829,(210) 653-0860,12106530860,3128.816507,https://s3-media1.fl.yelpcdn.com/bphoto/BdSsAXzpmh8wB3piIcNazQ/o.jpg,FALSE,2235 NE Loop 410,,,San Antonio,TX,US,78217,1,17,[u'delivery'],https://www.yelp.com/biz/jack-in-the-box-san-antonio-50?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
dominos-pizza-san-antonio-27,QoSlrmHoutYS55P8VD1VGw,Domino's Pizza,pizza,Pizza,29.49544,-98.43524,(210) 828-7272,12108287272,3130.339875,https://s3-media1.fl.yelpcdn.com/bphoto/8Yl_X2Q01zsliJ3W9qGo3w/o.jpg,FALSE,3255 Harry Wurzbach Rd,,,San Antonio,TX,US,78209,3,18,[],https://www.yelp.com/biz/dominos-pizza-san-antonio-27?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
tacos-el-amigo-san-antonio-2,SIY-fCXG9c8Io9yNNCBR5w,Tacos El Amigo,foodtrucks,Food Trucks,29.4924058,-98.5350137,,,8159.612313,https://s3-media2.fl.yelpcdn.com/bphoto/_FdJG0TGCClkwCaCc8lNOg/o.jpg,FALSE,12757 Nacogdoches,,,San Antonio,TX,US,78217,5,1,[],https://www.yelp.com/biz/tacos-el-amigo-san-antonio-2?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
andreas-cafe-san-antonio,3czwtjqRfIfMYA95cnTajQ,Andrea's Cafe,mexican,Mexican,29.447506,-98.524414,(210) 609-6022,12106096022,10219.27762,https://s3-media1.fl.yelpcdn.com/bphoto/JXM6ClDpIRC2uyFbA9tZtg/o.jpg,FALSE,843 Waverly Ave,,,San Antonio,TX,US,78201,5,1,[],https://www.yelp.com/biz/andreas-cafe-san-antonio?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
lubys-san-antonio-26,FhXOZjW695Ko60O2CXt_8w,Luby's,tradamerican,American (Traditional),29.4910695,-98.55346651,(210) 733-1972,12107331972,9900.939759,https://s3-media4.fl.yelpcdn.com/bphoto/JB6lvWMxc5TsZPW8fmaYJg/o.jpg,FALSE,4541 Fredericksburg Rd,,,San Antonio,TX,US,78201,3,39,[],https://www.yelp.com/biz/lubys-san-antonio-26?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
dominos-pizza-san-antonio-2,OfD9hslF0Dz0tmgHa83now,Domino's Pizza,pizza,Pizza,29.50401,-98.49203,(210) 822-2021,12108222021,3829.699102,https://s3-media1.fl.yelpcdn.com/bphoto/sCb9nskAFe5zft8KNkRdXg/o.jpg,FALSE,7551 McCullough Ave,,,San Antonio,TX,US,78216,2.5,13,[],https://www.yelp.com/biz/dominos-pizza-san-antonio-2?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
dairy-queen-san-antonio-4,Bp3khgZM4nLGevNudxZLBw,Dairy Queen,hotdogs,Fast Food,29.58711,-98.45234,(210) 545-2921,12105452921,7757.461448,https://s3-media1.fl.yelpcdn.com/bphoto/igMQ1Wd7JJUZCzpRGmMfmw/o.jpg,FALSE,2252 Thousand Oaks,,,San Antonio,TX,US,78232,2,28,[],https://www.yelp.com/biz/dairy-queen-san-antonio-4?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
southern-gal-s-lakehills,ZSupYHEoqiVKLY81sFlAqg,Southern Gal’s,foodtrucks,Food Trucks,29.58474,-98.94917,(210) 219-0622,12102190622,48131.45128,https://s3-media3.fl.yelpcdn.com/bphoto/g9ss3s5YZ3FQcC2gvqm0Vw/o.jpg,FALSE,,,,Lakehills,TX,US,78063,5,3,[],https://www.yelp.com/biz/southern-gal-s-lakehills?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
churchs-chicken-san-antonio-40,p-r_xb7f-sIS2bgmEzfN-A,Church's Chicken,chicken_wings,Chicken Wings,29.48881,-98.52547,(210) 344-1422,12103441422,7458.471098,https://s3-media4.fl.yelpcdn.com/bphoto/ZoBdWvexqvrynYaIlD8dNw/o.jpg,FALSE,2431 Basse Rd,,,San Antonio,TX,US,78213,3,5,[],https://www.yelp.com/biz/churchs-chicken-san-antonio-40?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
el-jarrito-cafe-san-antonio,uLacriaJoGhN8f-F1t0TdA,El Jarrito Cafe,mexican,Mexican,29.465059,-98.50769,(210) 736-5357,12107365357,7691.64104,https://s3-media4.fl.yelpcdn.com/bphoto/rAICY33pLiFXHvcprB8iYQ/o.jpg,FALSE,2014 Blanco Rd,,,San Antonio,TX,US,78212,3.5,3,[],https://www.yelp.com/biz/el-jarrito-cafe-san-antonio?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
deco-pizzeria-san-antonio,BvE4wFP8pY5L9nUcAOBk-A,Deco Pizzeria,pizza,Pizza,29.46148,-98.5233,(210) 732-3326,12107323326,9020.334688,https://s3-media2.fl.yelpcdn.com/bphoto/CJ_eKe69ogq5qsTGjN61fA/o.jpg,FALSE,1815 Fredericksburg Rd,,,San Antonio,TX,US,78201,3.5,147,"[u'pickup', u'delivery']",https://www.yelp.com/biz/deco-pizzeria-san-antonio?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
pizza-patron-san-antonio-3,Bzjx8tJ_O0y6Afjj3aH-mw,Pizza Patron,italian,Italian,29.487088,-98.526713,(210) 341-5100,12103415100,7649.684783,https://s3-media2.fl.yelpcdn.com/bphoto/G9RwxDBpTJyKEsyX0kkHKw/o.jpg,FALSE,2913 W Ave,,,San Antonio,TX,US,78201,5,1,[],https://www.yelp.com/biz/pizza-patron-san-antonio-3?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
la-reina-de-jalisco-san-antonio,rbmr87U6nUZMtFZvvzXVGg,La Reina De Jalisco,mexican,Mexican,29.56902757,-98.38392891,(210) 505-8152,12105058152,9121.270199,https://s3-media1.fl.yelpcdn.com/bphoto/1Eyc1SpnyQQxjyqro-19cA/o.jpg,FALSE,14040 Nacogdoches Rd,,,San Antonio,TX,US,78247,3,1,[],https://www.yelp.com/biz/la-reina-de-jalisco-san-antonio?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
